effect_tooltip_cure_poison,gv_heroes_english,koreana,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,brazilian,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,czech,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,french,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,german,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,italian,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,koreana,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,koreanb,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,polish,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,russian,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,schinese,
buff_rule_tooltip_actorStatus_false,gv_heroes_tooltip_overwrites,spanish,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,brazilian,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,czech,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,french,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,german,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,italian,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,koreana,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,koreanb,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,polish,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,russian,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,schinese,
buff_rule_tooltip_is_guarded,gv_heroes_tooltip_overwrites,spanish,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,brazilian,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,czech,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,french,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,german,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,italian,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,koreana,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,koreanb,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,polish,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,russian,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,schinese,
buff_rule_tooltip_target_is_guarded,gv_heroes_tooltip_overwrites,spanish,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,brazilian,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,czech,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,french,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,german,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,italian,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,koreana,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,koreanb,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,polish,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,russian,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,schinese,
buff_stat_tooltip_combat_stat_add_crit_chance,gv_heroes_tooltip_overwrites,spanish,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,brazilian,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,czech,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,french,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,german,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,italian,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,koreana,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,koreanb,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,polish,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,russian,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,schinese,
buff_stat_tooltip_combat_stat_multiply_crit_chance,gv_heroes_tooltip_overwrites,spanish,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,brazilian,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,czech,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,french,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,german,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,italian,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,koreana,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,koreanb,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,polish,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,russian,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,schinese,
buff_stat_tooltip_damage_received_percent,gv_heroes_tooltip_overwrites,spanish,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,brazilian,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,czech,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,french,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,german,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,italian,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,koreana,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,koreanb,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,polish,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,russian,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,schinese,
buff_stat_tooltip_ignore_protection,gv_heroes_tooltip_overwrites,spanish,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,brazilian,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,czech,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,french,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,german,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,italian,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,koreana,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,koreanb,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,polish,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,russian,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,schinese,
buff_stat_tooltip_stress_dmg_percent,gv_heroes_tooltip_overwrites,spanish,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,brazilian,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,czech,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,french,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,german,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,italian,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,koreana,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,koreanb,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,polish,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,russian,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,schinese,
buff_stat_tooltip_stress_dmg_received_percent,gv_heroes_tooltip_overwrites,spanish,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,brazilian,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,czech,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,french,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,german,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,italian,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,koreana,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,koreanb,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,polish,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,russian,
